Service,Price,Duration,Description
Male Stripper Show,2500,20 minutes,Full choreographed performance with costume and music
Topless Waiter,800,Per hour,Professional, well-groomed waiter in black pants
Bottomless Waiter,1000,Per hour,Waiter wearing apron and g-string
Naughty Games / MC,1500,30-45 minutes,Interactive games and entertainment
Female Stripper,2500,20 minutes,For bachelor parties
Hot Promoters,600,Per hour,Professional promotional models
Fitness Models,800,Per hour,Professional fitness talent
