Name,Description,Active
Male Strippers,"Professional choreographed shows with costume, music, and crowd interaction. Perfect for bachelorette parties and ladies nights.",TRUE
Topless Waiters,Well-mannered, good-looking guys in black pants serving drinks and entertaining your guests with charm and professionalism.,TRUE
Bottomless Waiters,The naughtier option - waiters in aprons and g-strings providing drinks and entertainment for adult parties.,TRUE
Naughty Games / MC,"Interactive 30-45 minute entertainment package including party games, challenges, and professional MC services.",TRUE
Female Strippers,Professional female entertainers for bachelor parties and mixed events.,TRUE
Hot Promoters,"Professional promotional models for events, brand activations, and parties.",TRUE
Fitness Models,"Professional fitness talent for events, photo shoots, and promotions.",TRUE
